# Blacklist IP Spesifik - IP dari domain blacklist.txt
# Last updated: 2025-12-05 22:34:11 UTC
# Total entries: 280
# Format: <ip> # <source>
#
# PRIORITAS: Level 2 - Blacklist IP Spesifik
# IP dengan marker 'Berasal dari IP domain' akan di-update otomatis
# IP manual (tanpa marker) tidak akan dihapus otomatis
#
3.5.128.33 # Berasal dari IP domain liltlitee.s3.us-east-2.amazonaws.com (URLhaus Malware Domains)
3.5.129.181 # Berasal dari IP domain liltlitee.s3.us-east-2.amazonaws.com (URLhaus Malware Domains)
3.5.131.140 # Berasal dari IP domain liltlitee.s3.us-east-2.amazonaws.com (URLhaus Malware Domains)
3.5.131.172 # Berasal dari IP domain liltlitee.s3.us-east-2.amazonaws.com (URLhaus Malware Domains)
3.5.133.53 # Berasal dari IP domain liltlitee.s3.us-east-2.amazonaws.com (URLhaus Malware Domains)
3.5.16.15 # Berasal dari IP domain s3.amazonaws.com (URLhaus Malware Domains)
3.5.23.197 # Berasal dari IP domain s3.amazonaws.com (URLhaus Malware Domains)
36.50.65.72 # Berasal dari IP domain update.iobit.com (URLhaus Malware Domains)
36.50.65.73 # Berasal dari IP domain update.iobit.com (URLhaus Malware Domains)
38.27.106.100 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.101 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.102 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.103 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.104 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.105 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.106 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.107 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.108 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.109 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.117 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.118 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.119 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.120 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.121 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.122 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.123 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.124 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.125 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.126 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.127 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.128 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.129 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.130 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.131 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.132 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.133 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
38.27.106.134 # Berasal dari IP domain s3.wasabisys.com (URLhaus Malware Domains)
45.130.41.156 # Berasal dari IP domain exxvideos.ru (URLhaus Malware Domains)
51.91.79.17 # Berasal dari IP domain temp.sh (URLhaus Malware Domains)
52.216.244.62 # Berasal dari IP domain s3.amazonaws.com (URLhaus Malware Domains)
52.216.61.48 # Berasal dari IP domain s3.amazonaws.com (URLhaus Malware Domains)
52.219.109.2 # Berasal dari IP domain liltlitee.s3.us-east-2.amazonaws.com (URLhaus Malware Domains)
52.74.6.109 # Berasal dari IP domain telegram-31-10.netlify.app (URLhaus Malware Domains)
54.231.163.24 # Berasal dari IP domain s3.amazonaws.com (URLhaus Malware Domains)
64.233.170.95 # Berasal dari IP domain firebasestorage.googleapis.com (URLhaus Malware Domains)
74.125.130.95 # Berasal dari IP domain firebasestorage.googleapis.com (URLhaus Malware Domains)
74.125.200.100 # Berasal dari IP domain sites.google.com (URLhaus Malware Domains)
74.125.200.101 # Berasal dari IP domain sites.google.com (URLhaus Malware Domains)
74.125.200.102 # Berasal dari IP domain sites.google.com (URLhaus Malware Domains)
74.125.200.113 # Berasal dari IP domain sites.google.com (URLhaus Malware Domains)
74.125.200.138 # Berasal dari IP domain sites.google.com (URLhaus Malware Domains)
74.125.200.139 # Berasal dari IP domain sites.google.com (URLhaus Malware Domains)
74.125.200.95 # Berasal dari IP domain firebasestorage.googleapis.com (URLhaus Malware Domains)
74.125.24.95 # Berasal dari IP domain firebasestorage.googleapis.com (URLhaus Malware Domains)
74.125.68.95 # Berasal dari IP domain firebasestorage.googleapis.com (URLhaus Malware Domains)
82.22.184.67 # Berasal dari IP domain cwma-10-b2-v4wan-167603-cust66.vm2.cable.virginm.net (URLhaus Malware Domains)
88.223.91.152 # Berasal dari IP domain tema-com-ua-568517.hostingersite.com (URLhaus Malware Domains)
90.156.201.35 # Berasal dari IP domain fastfromg.ru (URLhaus Malware Domains)
90.156.201.71 # Berasal dari IP domain fastfromg.ru (URLhaus Malware Domains)
90.156.201.79 # Berasal dari IP domain fastfromg.ru (URLhaus Malware Domains)
90.156.201.82 # Berasal dari IP domain fastfromg.ru (URLhaus Malware Domains)
94.139.32.29 # Berasal dari IP domain store-na-phx-1.gofile.io (URLhaus Malware Domains)
94.139.32.37 # Berasal dari IP domain store-na-phx-3.gofile.io (URLhaus Malware Domains)
94.139.32.39 # Berasal dari IP domain store-na-phx-4.gofile.io (URLhaus Malware Domains)
94.139.32.9 # Berasal dari IP domain store9.gofile.io (URLhaus Malware Domains)
